update=0/20000 loss=4.8645 policy=3.4437 value=1.4207
update=50/20000 loss=4.5613 policy=3.2229 value=1.3384
update=100/20000 loss=4.1963 policy=2.9055 value=1.2908
update=150/20000 loss=3.7272 policy=2.4138 value=1.3134
update=200/20000 loss=3.6735 policy=2.3852 value=1.2883
update=250/20000 loss=3.2781 policy=2.0437 value=1.2344
update=300/20000 loss=3.4378 policy=2.1307 value=1.3072
update=350/20000 loss=3.0415 policy=1.7340 value=1.3075
update=400/20000 loss=2.8055 policy=1.5520 value=1.2535
update=450/20000 loss=2.7299 policy=1.4651 value=1.2647
update=500/20000 loss=2.7025 policy=1.4238 value=1.2786
update=550/20000 loss=2.6043 policy=1.3797 value=1.2246
update=600/20000 loss=2.5974 policy=1.3820 value=1.2153
update=650/20000 loss=2.5539 policy=1.3232 value=1.2307
update=700/20000 loss=2.4973 policy=1.2666 value=1.2307
update=750/20000 loss=2.5376 policy=1.2852 value=1.2525
update=800/20000 loss=2.5103 policy=1.2595 value=1.2507
update=850/20000 loss=2.4599 policy=1.1945 value=1.2654
update=900/20000 loss=2.3258 policy=1.1207 value=1.2051
update=950/20000 loss=2.4200 policy=1.1809 value=1.2391
update=1000/20000 loss=2.4560 policy=1.2657 value=1.1902
update=1050/20000 loss=2.4400 policy=1.1959 value=1.2441
update=1100/20000 loss=2.3903 policy=1.1805 value=1.2098
update=1150/20000 loss=2.3650 policy=1.1220 value=1.2429
update=1200/20000 loss=2.4178 policy=1.1454 value=1.2724
update=1250/20000 loss=2.2790 policy=1.0461 value=1.2330
update=1300/20000 loss=2.3795 policy=1.1469 value=1.2326
update=1350/20000 loss=2.3561 policy=1.0984 value=1.2578
update=1400/20000 loss=2.3872 policy=1.1689 value=1.2182
update=1450/20000 loss=2.4121 policy=1.1501 value=1.2620
update=1500/20000 loss=2.2297 policy=1.0263 value=1.2034
update=1550/20000 loss=2.2161 policy=1.0185 value=1.1976
update=1600/20000 loss=2.3761 policy=1.1277 value=1.2484
update=1650/20000 loss=2.3526 policy=1.1159 value=1.2367
update=1700/20000 loss=2.3660 policy=1.1085 value=1.2575
update=1750/20000 loss=2.2659 policy=1.0576 value=1.2083
update=1800/20000 loss=2.2953 policy=1.0724 value=1.2228
update=1850/20000 loss=2.2458 policy=1.0462 value=1.1996
update=1900/20000 loss=2.2305 policy=1.0492 value=1.1814
update=1950/20000 loss=2.1938 policy=0.9874 value=1.2064
update=2000/20000 loss=2.2105 policy=1.0284 value=1.1821
update=2050/20000 loss=2.3130 policy=1.0965 value=1.2165
update=2100/20000 loss=2.2184 policy=1.0127 value=1.2057
update=2150/20000 loss=2.2658 policy=1.0651 value=1.2007
update=2200/20000 loss=2.2042 policy=1.0021 value=1.2022
update=2250/20000 loss=2.2310 policy=1.0460 value=1.1850
update=2300/20000 loss=2.1727 policy=1.0020 value=1.1707
update=2350/20000 loss=2.2027 policy=0.9935 value=1.2092
update=2400/20000 loss=2.2843 policy=1.0861 value=1.1982
update=2450/20000 loss=2.2051 policy=1.0203 value=1.1849
update=2500/20000 loss=2.1400 policy=0.9458 value=1.1942
update=2550/20000 loss=2.2519 policy=1.0352 value=1.2167
update=2600/20000 loss=2.2074 policy=1.0264 value=1.1810
update=2650/20000 loss=2.1803 policy=0.9982 value=1.1822
update=2700/20000 loss=2.1783 policy=0.9557 value=1.2226
update=2750/20000 loss=2.2832 policy=1.0421 value=1.2411
update=2800/20000 loss=2.1301 policy=0.9512 value=1.1789
update=2850/20000 loss=2.2277 policy=1.0635 value=1.1641
update=2900/20000 loss=2.2627 policy=1.0317 value=1.2309
update=2950/20000 loss=2.2074 policy=1.0132 value=1.1942
update=3000/20000 loss=2.2286 policy=1.0364 value=1.1923
update=3050/20000 loss=2.1578 policy=0.9829 value=1.1749
update=3100/20000 loss=2.1322 policy=0.9597 value=1.1725
update=3150/20000 loss=2.2737 policy=1.0709 value=1.2028
update=3200/20000 loss=2.2428 policy=1.0560 value=1.1868
update=3250/20000 loss=2.2120 policy=1.0165 value=1.1955
update=3300/20000 loss=2.1546 policy=0.9529 value=1.2017
update=3350/20000 loss=2.2069 policy=0.9865 value=1.2205
update=3400/20000 loss=2.1727 policy=0.9649 value=1.2078
update=3450/20000 loss=2.1532 policy=0.9623 value=1.1909
update=3500/20000 loss=2.2431 policy=1.0311 value=1.2120
update=3550/20000 loss=2.2593 policy=1.0358 value=1.2235
update=3600/20000 loss=2.1357 policy=0.9708 value=1.1649
update=3650/20000 loss=2.1635 policy=0.9715 value=1.1920
update=3700/20000 loss=2.1674 policy=0.9873 value=1.1801
update=3750/20000 loss=2.1357 policy=0.9494 value=1.1863
update=3800/20000 loss=2.1927 policy=1.0077 value=1.1850
update=3850/20000 loss=2.1479 policy=0.9717 value=1.1762
update=3900/20000 loss=2.1738 policy=0.9710 value=1.2029
update=3950/20000 loss=2.1493 policy=0.9479 value=1.2014
update=4000/20000 loss=2.1692 policy=0.9962 value=1.1730
update=4050/20000 loss=2.1165 policy=0.9746 value=1.1419
update=4100/20000 loss=2.0239 policy=0.8915 value=1.1324
update=4150/20000 loss=2.2210 policy=1.0289 value=1.1920
update=4200/20000 loss=2.1826 policy=0.9928 value=1.1897
update=4250/20000 loss=2.2462 policy=1.0295 value=1.2167
update=4300/20000 loss=2.1525 policy=0.9869 value=1.1656
update=4350/20000 loss=2.1486 policy=0.9590 value=1.1896
update=4400/20000 loss=2.1734 policy=0.9849 value=1.1885
update=4450/20000 loss=2.1165 policy=0.9312 value=1.1853
update=4500/20000 loss=2.0960 policy=0.9658 value=1.1301
update=4550/20000 loss=2.0797 policy=0.9271 value=1.1526
update=4600/20000 loss=2.1375 policy=0.9418 value=1.1958
update=4650/20000 loss=2.1507 policy=0.9394 value=1.2112
update=4700/20000 loss=2.0943 policy=0.9378 value=1.1566
update=4750/20000 loss=2.1033 policy=0.9313 value=1.1720
update=4800/20000 loss=2.2294 policy=1.0081 value=1.2213
update=4850/20000 loss=2.1639 policy=0.9497 value=1.2142
update=4900/20000 loss=2.1340 policy=0.9726 value=1.1615
update=4950/20000 loss=2.2286 policy=1.0432 value=1.1854
update=5000/20000 loss=2.1215 policy=0.9683 value=1.1533
update=5050/20000 loss=1.9293 policy=0.8572 value=1.0721
update=5100/20000 loss=1.8214 policy=0.8540 value=0.9674
update=5150/20000 loss=1.6690 policy=0.7804 value=0.8886
update=5200/20000 loss=1.7710 policy=0.8064 value=0.9646
update=5250/20000 loss=1.7448 policy=0.8039 value=0.9408
update=5300/20000 loss=1.7757 policy=0.8292 value=0.9465
update=5350/20000 loss=1.7113 policy=0.8018 value=0.9096
update=5400/20000 loss=1.8566 policy=0.9017 value=0.9548
update=5450/20000 loss=1.6320 policy=0.7427 value=0.8893
update=5500/20000 loss=1.6785 policy=0.7494 value=0.9291
update=5550/20000 loss=1.6552 policy=0.7485 value=0.9067
update=5600/20000 loss=1.6313 policy=0.8019 value=0.8294
update=5650/20000 loss=1.7355 policy=0.8099 value=0.9255
update=5700/20000 loss=1.6175 policy=0.7521 value=0.8653
update=5750/20000 loss=1.7611 policy=0.8708 value=0.8903
update=5800/20000 loss=1.6638 policy=0.7951 value=0.8688
update=5850/20000 loss=1.6383 policy=0.7687 value=0.8696
update=5900/20000 loss=1.7303 policy=0.8565 value=0.8738
update=5950/20000 loss=1.5771 policy=0.7450 value=0.8320
update=6000/20000 loss=1.6617 policy=0.7821 value=0.8797
update=6050/20000 loss=1.6271 policy=0.7505 value=0.8766
update=6100/20000 loss=1.5931 policy=0.7445 value=0.8486
update=6150/20000 loss=1.6285 policy=0.7448 value=0.8837
update=6200/20000 loss=1.6479 policy=0.7740 value=0.8739
update=6250/20000 loss=1.7089 policy=0.8074 value=0.9014
update=6300/20000 loss=1.6605 policy=0.7540 value=0.9065
update=6350/20000 loss=1.7033 policy=0.8428 value=0.8605
update=6400/20000 loss=1.5827 policy=0.7327 value=0.8499
update=6450/20000 loss=1.5425 policy=0.6954 value=0.8471
update=6500/20000 loss=1.6670 policy=0.8008 value=0.8662
update=6550/20000 loss=1.6666 policy=0.7704 value=0.8961
update=6600/20000 loss=1.6531 policy=0.8069 value=0.8462
update=6650/20000 loss=1.6807 policy=0.7924 value=0.8883
update=6700/20000 loss=1.5943 policy=0.7608 value=0.8336
update=6750/20000 loss=1.4904 policy=0.6975 value=0.7929
update=6800/20000 loss=1.6947 policy=0.7676 value=0.9271
update=6850/20000 loss=1.6197 policy=0.7573 value=0.8623
update=6900/20000 loss=1.6455 policy=0.7861 value=0.8594
update=6950/20000 loss=1.6339 policy=0.7603 value=0.8736
update=7000/20000 loss=1.6979 policy=0.7914 value=0.9064
update=7050/20000 loss=1.6689 policy=0.7943 value=0.8746
update=7100/20000 loss=1.5882 policy=0.7636 value=0.8246
update=7150/20000 loss=1.6252 policy=0.7454 value=0.8799
update=7200/20000 loss=1.6639 policy=0.7818 value=0.8821
update=7250/20000 loss=1.6443 policy=0.7322 value=0.9121
update=7300/20000 loss=1.7391 policy=0.8498 value=0.8893
update=7350/20000 loss=1.6593 policy=0.7443 value=0.9150
update=7400/20000 loss=1.6264 policy=0.7342 value=0.8923
update=7450/20000 loss=1.6173 policy=0.7041 value=0.9132
update=7500/20000 loss=1.6478 policy=0.7630 value=0.8848
update=7550/20000 loss=1.6763 policy=0.7503 value=0.9260
update=7600/20000 loss=1.6169 policy=0.8187 value=0.7982
update=7650/20000 loss=1.6399 policy=0.7982 value=0.8417
update=7700/20000 loss=1.6479 policy=0.7525 value=0.8953
update=7750/20000 loss=1.6504 policy=0.7984 value=0.8519
update=7800/20000 loss=1.5892 policy=0.7254 value=0.8637
update=7850/20000 loss=1.6752 policy=0.7725 value=0.9027
update=7900/20000 loss=1.5393 policy=0.6668 value=0.8725
update=7950/20000 loss=1.6150 policy=0.7668 value=0.8482
update=8000/20000 loss=1.6090 policy=0.6972 value=0.9118
update=8050/20000 loss=1.5370 policy=0.6850 value=0.8521
update=8100/20000 loss=1.6015 policy=0.7728 value=0.8287
update=8150/20000 loss=1.5683 policy=0.6980 value=0.8703
update=8200/20000 loss=1.6563 policy=0.7277 value=0.9286
update=8250/20000 loss=1.5999 policy=0.7935 value=0.8064
update=8300/20000 loss=1.6291 policy=0.7446 value=0.8846
update=8350/20000 loss=1.6260 policy=0.7345 value=0.8915
update=8400/20000 loss=1.5976 policy=0.7274 value=0.8702
update=8450/20000 loss=1.5586 policy=0.6780 value=0.8806
update=8500/20000 loss=1.6437 policy=0.7393 value=0.9045
update=8550/20000 loss=1.5898 policy=0.7114 value=0.8784
update=8600/20000 loss=1.5941 policy=0.7530 value=0.8411
update=8650/20000 loss=1.6232 policy=0.7438 value=0.8794
update=8700/20000 loss=1.5494 policy=0.7438 value=0.8056
update=8750/20000 loss=1.5670 policy=0.7313 value=0.8357
update=8800/20000 loss=1.6954 policy=0.7869 value=0.9084
update=8850/20000 loss=1.5987 policy=0.7563 value=0.8424
update=8900/20000 loss=1.6750 policy=0.7705 value=0.9046
update=8950/20000 loss=1.5703 policy=0.7237 value=0.8467
update=9000/20000 loss=1.5957 policy=0.7065 value=0.8892
update=9050/20000 loss=1.5959 policy=0.7375 value=0.8583
